bucket,season,variable,lead_h,model,wins,n_windows,win_share,metric
season,MAM,t850,72.0,HRES,4,5,0.8,rmse_mean
season,MAM,t850,120.0,GraphCast,1,5,0.2,rmse_mean
season,MAM,t850,120.0,HRES,4,5,0.8,rmse_mean
season,MAM,t850,168.0,GraphCast,1,5,0.2,rmse_mean
season,MAM,t850,168.0,HRES,4,5,0.8,rmse_mean
season,MAM,u850,24.0,GraphCast,1,5,0.2,rmse_mean
season,MAM,u850,24.0,HRES,4,5,0.8,rmse_mean
season,MAM,u850,72.0,GraphCast,1,5,0.2,rmse_mean
season,MAM,u850,72.0,HRES,4,5,0.8,rmse_mean
season,MAM,u850,120.0,GraphCast,1,5,0.2,rmse_mean
season,MAM,u850,120.0,HRES,4,5,0.8,rmse_mean
season,MAM,u850,168.0,GraphCast,1,5,0.2,rmse_mean
season,MAM,u850,168.0,HRES,4,5,0.8,rmse_mean
season,MAM,v850,24.0,GraphCast,1,5,0.2,rmse_mean
season,MAM,v850,24.0,HRES,4,5,0.8,rmse_mean
season,MAM,v850,72.0,GraphCast,1,5,0.2,rmse_mean
season,MAM,v850,72.0,HRES,4,5,0.8,rmse_mean
season,MAM,v850,120.0,GraphCast,1,5,0.2,rmse_mean
season,MAM,v850,120.0,HRES,4,5,0.8,rmse_mean
season,MAM,v850,168.0,GraphCast,1,5,0.2,rmse_mean
season,MAM,v850,168.0,HRES,4,5,0.8,rmse_mean
season,MAM,z500,24.0,HRES,4,5,0.8,rmse_mean
season,MAM,z500,24.0,NeuralGCM,1,5,0.2,rmse_mean
season,MAM,z500,72.0,HRES,4,5,0.8,rmse_mean
season,MAM,z500,72.0,NeuralGCM,1,5,0.2,rmse_mean
season,MAM,z500,120.0,HRES,4,5,0.8,rmse_mean
season,MAM,z500,120.0,NeuralGCM,1,5,0.2,rmse_mean
season,MAM,z500,168.0,GraphCast,1,5,0.2,rmse_mean
season,MAM,z500,168.0,HRES,4,5,0.8,rmse_mean
season,SON,mslp,24.0,GraphCast,2,5,0.4,rmse_mean
season,SON,mslp,24.0,HRES,3,5,0.6,rmse_mean
season,SON,mslp,72.0,GraphCast,2,5,0.4,rmse_mean
season,SON,mslp,72.0,HRES,3,5,0.6,rmse_mean
season,SON,mslp,120.0,GraphCast,2,5,0.4,rmse_mean
season,SON,mslp,120.0,HRES,3,5,0.6,rmse_mean
season,SON,mslp,168.0,GraphCast,2,5,0.4,rmse_mean
season,SON,mslp,168.0,HRES,3,5,0.6,rmse_mean
season,SON,t850,24.0,GraphCast,2,5,0.4,rmse_mean
season,SON,t850,24.0,HRES,3,5,0.6,rmse_mean
season,SON,t850,72.0,GraphCast,2,5,0.4,rmse_mean
season,SON,t850,72.0,HRES,3,5,0.6,rmse_mean
season,SON,t850,120.0,GraphCast,2,5,0.4,rmse_mean
season,SON,t850,120.0,HRES,3,5,0.6,rmse_mean
season,SON,t850,168.0,GraphCast,2,5,0.4,rmse_mean
season,SON,t850,168.0,HRES,3,5,0.6,rmse_mean
season,SON,u850,24.0,GraphCast,2,5,0.4,rmse_mean
season,SON,u850,24.0,HRES,3,5,0.6,rmse_mean
season,SON,u850,72.0,GraphCast,2,5,0.4,rmse_mean
season,SON,u850,72.0,HRES,3,5,0.6,rmse_mean
season,SON,u850,120.0,GraphCast,2,5,0.4,rmse_mean
season,SON,u850,120.0,HRES,3,5,0.6,rmse_mean
season,SON,u850,168.0,GraphCast,2,5,0.4,rmse_mean
season,SON,u850,168.0,HRES,3,5,0.6,rmse_mean
season,SON,v850,24.0,GraphCast,2,5,0.4,rmse_mean
season,SON,v850,24.0,HRES,3,5,0.6,rmse_mean
season,SON,v850,72.0,GraphCast,2,5,0.4,rmse_mean
season,SON,v850,72.0,HRES,3,5,0.6,rmse_mean
season,SON,v850,120.0,GraphCast,2,5,0.4,rmse_mean
season,SON,v850,120.0,HRES,3,5,0.6,rmse_mean
season,SON,v850,168.0,GraphCast,2,5,0.4,rmse_mean
season,SON,v850,168.0,HRES,3,5,0.6,rmse_mean
season,SON,z500,24.0,GraphCast,1,5,0.2,rmse_mean
season,SON,z500,24.0,HRES,3,5,0.6,rmse_mean
season,SON,z500,24.0,NeuralGCM,1,5,0.2,rmse_mean
season,SON,z500,72.0,GraphCast,1,5,0.2,rmse_mean
season,SON,z500,72.0,HRES,3,5,0.6,rmse_mean
season,SON,z500,72.0,NeuralGCM,1,5,0.2,rmse_mean
season,SON,z500,120.0,GraphCast,1,5,0.2,rmse_mean
season,SON,z500,120.0,HRES,3,5,0.6,rmse_mean
season,SON,z500,120.0,NeuralGCM,1,5,0.2,rmse_mean
season,SON,z500,168.0,GraphCast,2,5,0.4,rmse_mean
season,SON,z500,168.0,HRES,3,5,0.6,rmse_mean
year,ALL,mslp,24.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,mslp,24.0,HRES,2,5,0.4,rmse_mean
year,ALL,mslp,72.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,mslp,72.0,HRES,2,5,0.4,rmse_mean
year,ALL,mslp,120.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,mslp,120.0,HRES,2,5,0.4,rmse_mean
year,ALL,mslp,168.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,mslp,168.0,HRES,2,5,0.4,rmse_mean
year,ALL,t850,24.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,t850,24.0,HRES,2,5,0.4,rmse_mean
year,ALL,t850,72.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,t850,72.0,HRES,2,5,0.4,rmse_mean
year,ALL,t850,120.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,t850,120.0,HRES,2,5,0.4,rmse_mean
year,ALL,t850,168.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,t850,168.0,HRES,2,5,0.4,rmse_mean
year,ALL,u850,24.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,u850,24.0,HRES,2,5,0.4,rmse_mean
year,ALL,u850,72.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,u850,72.0,HRES,2,5,0.4,rmse_mean
year,ALL,u850,120.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,u850,120.0,HRES,2,5,0.4,rmse_mean
year,ALL,u850,168.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,u850,168.0,HRES,2,5,0.4,rmse_mean
year,ALL,v850,24.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,v850,24.0,HRES,2,5,0.4,rmse_mean
year,ALL,v850,72.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,v850,72.0,HRES,2,5,0.4,rmse_mean
year,ALL,v850,120.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,v850,120.0,HRES,2,5,0.4,rmse_mean
year,ALL,v850,168.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,v850,168.0,HRES,2,5,0.4,rmse_mean
year,ALL,z500,24.0,GraphCast,2,5,0.4,rmse_mean
year,ALL,z500,24.0,HRES,2,5,0.4,rmse_mean
year,ALL,z500,24.0,NeuralGCM,1,5,0.2,rmse_mean
year,ALL,z500,72.0,GraphCast,2,5,0.4,rmse_mean
year,ALL,z500,72.0,HRES,2,5,0.4,rmse_mean
year,ALL,z500,72.0,NeuralGCM,1,5,0.2,rmse_mean
year,ALL,z500,120.0,GraphCast,2,5,0.4,rmse_mean
year,ALL,z500,120.0,HRES,2,5,0.4,rmse_mean
year,ALL,z500,120.0,NeuralGCM,1,5,0.2,rmse_mean
year,ALL,z500,168.0,GraphCast,3,5,0.6,rmse_mean
year,ALL,z500,168.0,HRES,2,5,0.4,rmse_mean
season,DJF,mslp,24.0,GraphCast,2,4,0.5,acc_mean
season,DJF,mslp,24.0,HRES,2,4,0.5,acc_mean
season,DJF,mslp,72.0,GraphCast,2,4,0.5,acc_mean
season,DJF,mslp,72.0,HRES,2,4,0.5,acc_mean
season,DJF,mslp,120.0,GraphCast,2,4,0.5,acc_mean
season,DJF,mslp,120.0,HRES,2,4,0.5,acc_mean
season,DJF,mslp,168.0,GraphCast,2,4,0.5,acc_mean
season,DJF,mslp,168.0,HRES,2,4,0.5,acc_mean
season,DJF,t850,24.0,GraphCast,2,4,0.5,acc_mean
season,DJF,t850,24.0,HRES,2,4,0.5,acc_mean
season,DJF,t850,72.0,GraphCast,2,4,0.5,acc_mean
season,DJF,t850,72.0,HRES,2,4,0.5,acc_mean
season,DJF,t850,120.0,GraphCast,2,4,0.5,acc_mean
season,DJF,t850,120.0,HRES,2,4,0.5,acc_mean
season,DJF,t850,168.0,GraphCast,2,4,0.5,acc_mean
season,DJF,t850,168.0,HRES,2,4,0.5,acc_mean
season,DJF,u850,24.0,GraphCast,2,4,0.5,acc_mean
season,DJF,u850,24.0,HRES,2,4,0.5,acc_mean
season,DJF,u850,72.0,GraphCast,2,4,0.5,acc_mean
season,DJF,u850,72.0,HRES,2,4,0.5,acc_mean
season,DJF,u850,120.0,GraphCast,2,4,0.5,acc_mean
season,DJF,u850,120.0,HRES,2,4,0.5,acc_mean
season,DJF,u850,168.0,GraphCast,2,4,0.5,acc_mean
season,DJF,u850,168.0,HRES,2,4,0.5,acc_mean
season,DJF,v850,24.0,GraphCast,2,4,0.5,acc_mean
season,DJF,v850,24.0,HRES,2,4,0.5,acc_mean
season,DJF,v850,72.0,GraphCast,2,4,0.5,acc_mean
season,DJF,v850,72.0,HRES,2,4,0.5,acc_mean
season,DJF,v850,120.0,GraphCast,2,4,0.5,acc_mean
season,DJF,v850,120.0,HRES,2,4,0.5,acc_mean
season,DJF,v850,168.0,GraphCast,2,4,0.5,acc_mean
season,DJF,v850,168.0,HRES,2,4,0.5,acc_mean
season,DJF,z500,24.0,GraphCast,1,4,0.25,acc_mean
season,DJF,z500,24.0,HRES,2,4,0.5,acc_mean
season,DJF,z500,24.0,NeuralGCM,1,4,0.25,acc_mean
season,DJF,z500,72.0,HRES,2,4,0.5,acc_mean
season,DJF,z500,72.0,NeuralGCM,2,4,0.5,acc_mean
season,DJF,z500,120.0,GraphCast,1,4,0.25,acc_mean
season,DJF,z500,120.0,HRES,2,4,0.5,acc_mean
season,DJF,z500,120.0,NeuralGCM,1,4,0.25,acc_mean
season,DJF,z500,168.0,GraphCast,2,4,0.5,acc_mean
season,DJF,z500,168.0,HRES,2,4,0.5,acc_mean
season,JJA,mslp,24.0,GraphCast,1,5,0.2,acc_mean
season,JJA,mslp,24.0,HRES,4,5,0.8,acc_mean
season,JJA,mslp,72.0,GraphCast,1,5,0.2,acc_mean
